power	vel
0.1	0
0.1	0
0.1	0
0.1	1.007033691
0.1	1.007033691
0.1	0.3765430322
0.1	0.6014228987
0.1	0.7217074784
0.1	0.7217074784
0.1	1.007033691
0.1	1.170336452
0.1	1.139538124
0.1	1.273601433
0.1	1.665478796
0.1	1.732097948
0.1	1.665478796
0.1	1.665478796
0.1	1.732097948
0.1	3.330957593
0.1	1.732097948
0.1	1.665478796
0.1	3.330957593
0.1	1.732097948
0.1	1.665478796
0.1	1.732097948
0.1	1.732097948
0.1	3.330957593
0.1	3.464195896
0.1	1.732097948
0.1	1.665478796
0.1	1.665478796
0.1	3.330957593
0.1	3.330957593
0.1	3.330957593
0.1	3.464195896
0.1	3.330957593
0.1	3.330957593
0.1	3.330957593
0.1	3.330957593
0.1	3.330957593
0.1	3.464195896
0.1	4.996436389
0.1	3.330957593
0.1	3.464195896
0.1	3.330957593
0.1	5.196293845
0.1	3.464195896
0.1	3.464195896
0.1	4.996436389
0.1	1.732097948
0.2	0.3798460413
0.2	0.3798460413
0.2	0.4706787903
0.2	0.9213286959
0.2	1.603794397
0.2	1.23721282
0.2	1.665478796
0.2	1.732097948
0.2	1.732097948
0.2	1.732097948
0.2	1.732097948
0.2	3.464195896
0.2	3.464195896
0.2	3.330957593
0.2	3.464195896
0.2	4.996436389
0.2	3.464195896
0.2	3.464195896
0.2	4.996436389
0.2	5.196293845
0.2	4.996436389
0.2	5.196293845
0.2	3.464195896
0.2	4.996436389
0.2	5.196293845
0.2	6.661915185
0.2	4.996436389
0.2	5.196293845
0.2	6.928391793
0.2	6.661915185
0.2	4.996436389
0.2	4.996436389
0.2	6.928391793
0.2	6.661915185
0.2	5.196293845
0.2	6.661915185
0.2	8.327393982
0.2	6.928391793
0.2	6.928391793
0.2	6.928391793
0.2	6.661915185
0.2	6.661915185
0.2	6.661915185
0.2	6.661915185
0.2	8.660489741
0.2	6.661915185
0.2	6.928391793
0.2	6.928391793
0.2	8.660489741
0.2	6.928391793
0.3	0.4163696991
0.3	0.7873172492
0.3	0.8018971982
0.3	1.493187886
0.3	1.732097948
0.3	1.732097948
0.3	3.464195896
0.3	3.330957593
0.3	3.464195896
0.3	3.464195896
0.3	3.330957593
0.3	4.996436389
0.3	5.196293845
0.3	4.996436389
0.3	6.661915185
0.3	6.661915185
0.3	6.661915185
0.3	6.661915185
0.3	6.661915185
0.3	6.661915185
0.3	8.660489741
0.3	6.928391793
0.3	6.928391793
0.3	8.327393982
0.3	8.327393982
0.3	10.39258769
0.3	8.327393982
0.3	9.992872778
0.3	8.327393982
0.3	9.992872778
0.3	11.65835157
0.3	9.992872778
0.3	8.327393982
0.3	9.992872778
0.3	10.39258769
0.3	10.39258769
0.3	10.39258769
0.3	11.65835157
0.3	10.39258769
0.3	11.65835157
0.3	11.65835157
0.3	13.32383037
0.3	9.992872778
0.3	9.992872778
0.3	13.32383037
0.3	11.65835157
0.3	11.65835157
0.3	10.39258769
0.3	10.39258769
0.3	12.12468564
