power	vel
0.8	1.665478796
0.8	1.665478796
0.8	3.330957593
0.8	4.996436389
0.8	4.996436389
0.8	5.196293845
0.8	8.660489741
0.8	8.327393982
0.8	9.992872778
0.8	10.39258769
0.8	9.992872778
0.8	15.58888153
0.8	19.98574556
0.8	18.32026676
0.8	20.78517538
0.8	23.31670315
0.8	22.51727333
0.8	19.98574556
0.8	21.65122435
0.8	18.32026676
0.8	20.78517538
0.8	18.32026676
0.8	23.31670315
0.8	19.98574556
0.8	19.05307743
0.8	18.32026676
0.8	24.98218195
0.8	21.65122435
0.8	19.05307743
0.8	19.98574556
0.8	23.31670315
0.8	19.98574556
0.8	22.51727333
0.8	19.05307743
0.9	0.9413575806
0.9	1.732097948
0.9	3.330957593
0.9	4.996436389
0.9	6.661915185
0.9	6.661915185
0.9	8.327393982
0.9	9.992872778
0.9	8.327393982
0.9	11.65835157
0.9	9.992872778
0.9	12.12468564
0.9	14.98930917
0.9	15.58888153
0.9	13.32383037
0.9	17.32097948
0.9	16.65478796
0.9	17.32097948
0.9	18.32026676
0.9	17.32097948
-0.2	24.24937128
-0.2	20.78517538
-0.2	17.32097948
-0.2	17.32097948
-0.2	14.98930917
-0.2	13.32383037
-0.2	12.12468564
-0.2	14.98930917
-0.2	11.65835157
-0.2	13.32383037
-0.2	8.327393982
-0.2	9.992872778
0.2	17.32097948
0.2	17.32097948
0.2	18.32026676
0.2	15.58888153
0.2	14.98930917
0.2	13.32383037
0.2	15.58888153
0.2	13.32383037
0.2	14.98930917
0.2	13.32383037
0.2	12.12468564
0.2	13.32383037
0.2	11.65835157
0.2	10.39258769
0.2	11.65835157
0.2	12.12468564
0.2	13.85678359
0.2	12.12468564
0.2	11.65835157
0.2	9.992872778
0.2	11.65835157
0.2	10.39258769
0.2	9.992872778
0.4	19.05307743
0.4	19.98574556
0.4	17.32097948
0.4	15.58888153
0.4	15.58888153
0.4	19.05307743
0.4	16.65478796
0.4	17.32097948
0.4	14.98930917
0.4	13.85678359
0.4	15.58888153
0.4	17.32097948
0.4	19.98574556
0.4	13.85678359
0.4	16.65478796
0.4	16.65478796
0.4	13.85678359
0.4	14.98930917
0.4	13.85678359
0.4	14.98930917
0.4	14.98930917
0.4	16.65478796
0.4	17.32097948
0.4	13.85678359
0.4	17.32097948
0.4	15.58888153
0.4	16.65478796
0.4	15.58888153
0.6	25.98146922
0.6	22.51727333
0.6	19.05307743
0.6	24.98218195
0.6	21.65122435
0.6	21.65122435
0.6	21.65122435
0.6	20.78517538
0.6	20.78517538
0.6	23.31670315
0.6	19.98574556
0.6	17.32097948
0.6	20.78517538
0.6	19.98574556
0.6	18.32026676
0.6	19.98574556
0.6	17.32097948
0.6	21.65122435
0.6	18.32026676
0.6	17.32097948
0.6	19.05307743
0.6	19.98574556
0.6	20.78517538
0.6	19.98574556
0.6	19.98574556
0.6	19.98574556
0.6	19.05307743
0.6	19.05307743
0.6	19.05307743
0.6	19.05307743
0.6	19.05307743
0.6	18.32026676
0.6	19.98574556
0.6	19.98574556
0.6	17.32097948
0.6	20.78517538
0.6	19.05307743
0.6	20.78517538
0.6	19.05307743
0.8	18.32026676
0.8	20.78517538
0.8	20.78517538
0.8	24.24937128
0.8	23.31670315
0.8	20.78517538
0.8	24.98218195
0.8	23.31670315
0.8	19.05307743
0.8	21.65122435
0.8	22.51727333
0.8	20.78517538
0.8	23.31670315
0.8	22.51727333
0.8	22.51727333
0.8	19.05307743
0.8	21.65122435
0.8	23.31670315
0.8	24.24937128
0.8	21.65122435
0.8	21.65122435
0.8	24.24937128
0.8	20.78517538
0.8	19.98574556
0.8	19.05307743
0.8	27.71356717
0.8	20.78517538
0.8	22.51727333
0.8	21.65122435
0.8	21.65122435
0.8	20.78517538
0.8	22.51727333
0.8	20.78517538
